Rater,Theta,Score,Expected_Zones,Half_Threshold
HR-1,-30,2.87646e-010,-8.18182,0.5
HR-1,-29.697,3.8946e-010,-1.51515,1.5
HR-1,-29.3939,5.27311e-010,3.0303,2.5
HR-1,-29.0909,7.13955e-010,6.36364,3.5
HR-1,-28.7879,9.66665e-010,,
HR-1,-28.4848,1.30882e-009,,
HR-1,-28.1818,1.77209e-009,,
HR-1,-27.8788,2.39932e-009,,
HR-1,-27.5758,3.24858e-009,,
HR-1,-27.2727,4.39843e-009,,
HR-1,-26.9697,5.95529e-009,,
HR-1,-26.6667,8.06319e-009,,
HR-1,-26.3636,1.09172e-008,,
HR-1,-26.0606,1.47814e-008,,
HR-1,-25.7576,2.00133e-008,,
HR-1,-25.4545,2.70972e-008,,
HR-1,-25.1515,3.66883e-008,,
HR-1,-24.8485,4.96745e-008,,
HR-1,-24.5455,6.7257e-008,,
HR-1,-24.2424,9.1063e-008,,
HR-1,-23.9394,1.23295e-007,,
HR-1,-23.6364,1.66936e-007,,
HR-1,-23.3333,2.26024e-007,,
HR-1,-23.0303,3.06027e-007,,
HR-1,-22.7273,4.14347e-007,,
HR-1,-22.4242,5.61007e-007,,
HR-1,-22.1212,7.59577e-007,,
HR-1,-21.8182,1.02843e-006,,
HR-1,-21.5152,1.39245e-006,,
HR-1,-21.2121,1.88532e-006,,
HR-1,-20.9091,2.55264e-006,,
HR-1,-20.6061,3.45615e-006,,
HR-1,-20.303,4.67947e-006,,
HR-1,-20,6.33578e-006,,
HR-1,-19.697,8.57835e-006,,
HR-1,-19.3939,1.16147e-005,,
HR-1,-19.0909,1.57257e-005,,
HR-1,-18.7879,2.12918e-005,,
HR-1,-18.4848,2.88279e-005,,
HR-1,-18.1818,3.90313e-005,,
HR-1,-17.8788,5.28458e-005,,
HR-1,-17.5758,7.15496e-005,,
HR-1,-17.2727,9.68726e-005,,
HR-1,-16.9697,0.000131157,,
HR-1,-16.6667,0.000177572,,
HR-1,-16.3636,0.00024041,,
HR-1,-16.0606,0.000325476,,
HR-1,-15.7576,0.00044063,,
HR-1,-15.4545,0.0005965,,
HR-1,-15.1515,0.000807465,,
HR-1,-14.8485,0.00109296,,
HR-1,-14.5455,0.00147925,,
HR-1,-14.2424,0.00200179,,
HR-1,-13.9394,0.00270843,,
HR-1,-13.6364,0.00366359,,
HR-1,-13.3333,0.00495393,,
HR-1,-13.0303,0.0066957,,
HR-1,-12.7273,0.00904431,,
HR-1,-12.4242,0.0122066,,
HR-1,-12.1212,0.0164564,,
HR-1,-11.8182,0.0221526,,
HR-1,-11.5152,0.029761,,
HR-1,-11.2121,0.0398763,,
HR-1,-10.9091,0.0532418,,
HR-1,-10.6061,0.070758,,
HR-1,-10.303,0.0934702,,
HR-1,-10,0.122515,,
HR-1,-9.69697,0.15901,,
HR-1,-9.39394,0.203863,,
HR-1,-9.09091,0.257515,,
HR-1,-8.78788,0.319656,,
HR-1,-8.48485,0.389,,
HR-1,-8.18182,0.463252,,
HR-1,-7.87879,0.539341,,
HR-1,-7.57576,0.613911,,
HR-1,-7.27273,0.683913,,
HR-1,-6.9697,0.7471,,
HR-1,-6.66667,0.802266,,
HR-1,-6.36364,0.849224,,
HR-1,-6.06061,0.888589,,
HR-1,-5.75758,0.921514,,
HR-1,-5.45454,0.949438,,
HR-1,-5.15151,0.973928,,
HR-1,-4.84848,0.99658,,
HR-1,-4.54545,1.01899,,
HR-1,-4.24242,1.04277,,
