Rater,AUC,Effective_AUC,Peak_Theta,Peak_Info,CV,PCC with HR-1
HR-1,26.0,0.45,7.27,0.3,1.2264,1.0
HR-2,27.0,0.55,-7.27,0.33,1.1598,0.8484
4o-Mini,20.0,0.17,-2.12,0.29,1.385,0.5847
GPT-4o,27.99,2.38,0.61,0.59,1.327,0.6928
CL-3.5-H,28.0,2.57,0.4,0.53,1.3404,0.574
CL-3.5-S,29.99,2.26,1.6,0.55,1.1955,0.6982
