Rater,AUC,Effective_AUC,Peak_Theta,Peak_Info,CV,PCC with HR-1
HR-1,4.0,0.26,3.64,0.31,1.5209,1.0
HR-2,4.0,0.22,3.33,0.3,1.5073,0.9954
4o-Mini,3.0,0.0,7.58,0.25,1.5604,0.752
GPT-4o,3.0,0.0,0.3,0.25,1.5636,0.774
CL-3.5-H,4.0,0.06,-3.64,0.25,1.3283,0.7377
CL-3.5-S,4.0,0.02,3.94,0.25,1.274,0.5363
