Rater,AUC,Effective_AUC,Peak_Theta,Peak_Info,CV,PCC with HR-1
HR-1,5.0,0.35,5.76,0.32,1.3366,1.0
HR-2,5.0,0.31,5.45,0.3,1.3465,0.9801
4o-Mini,3.0,0.01,0.61,0.25,1.5604,0.8109
GPT-4o,3.0,0.0,0.3,0.25,1.5641,0.8257
CL-3.5-H,4.0,0.15,2.42,0.29,1.4754,0.8405
CL-3.5-S,4.0,0.36,1.82,0.32,1.6462,0.765
